Country,Country Code,Continent,Region,Year,Population,Emissions,Emissions Per Capita,Beef Consumption Per Capita,Total Beef Consumption
Argentina,32,Americas,South America,2012,42096739,88476432,2.101740755,40.22398303,1693298515
Argentina,32,Americas,South America,2011,41656879,87609016,2.103110413,37.86109804,1577175180
Argentina,32,Americas,South America,2010,41223889,86741600,2.104158586,39.44771611,1626188270
Argentina,32,Americas,South America,2009,40799407,93113200,2.282219445,46.70195238,1905411963
Argentina,32,Americas,South America,2008,40382389,97896600,2.424239933,46.91601865,1894580915
Argentina,32,Americas,South America,2007,39970224,97783600,2.446411108,47.07573734,1881627766
Argentina,32,Americas,South America,2006,39558890,100025000,2.528508763,43.78944807,1732261959
Argentina,32,Americas,South America,2005,39145488,100126000,2.55779159,42.64426647,1669330621
Argentina,32,Americas,South America,2004,38728696,101501000,2.620821522,43.50166344,1684762699
Argentina,32,Americas,South America,2003,38309379,101066000,2.638152918,41.62165283,1594499673
Argentina,32,Americas,South America,2002,37889370,95893300,2.530876074,40.28261809,1526283021
Argentina,32,Americas,South America,2001,37471509,98515100,2.629066793,43.75816387,1639684431
Argentina,32,Americas,South America,2000,37057452,99214100,2.677304959,45.05369553,1669575160
Argentina,32,Americas,South America,1999,36648068,98301300,2.682305108,45.53406375,1668735465
Argentina,32,Americas,South America,1998,36241590,100269000,2.76668325,41.42852079,1501435465
Argentina,32,Americas,South America,1997,35833969,102577000,2.862563173,44.63931054,1599603670
Argentina,32,Americas,South America,1996,35419682,101400000,2.862815087,44.00235355,1558549370
Argentina,32,Americas,South America,1995,34994814,102195000,2.920289846,43.48520527,1521756670
Argentina,32,Americas,South America,1994,34558115,101069000,2.924609748,48.37523314,1671756870
Argentina,32,Americas,South America,1993,34110917,101568000,2.977580462,51.46466658,1755506970
Argentina,32,Americas,South America,1992,33655151,102146000,3.035077751,50.78917845,1709317470
Argentina,32,Americas,South America,1991,33193918,100648000,3.032121728,51.6379829,1714066970
Argentina,32,Americas,South America,1990,32729739,102083000,3.118967738,55.36999455,1812245470
Australia,36,Oceania,Australia and New Zealand,2012,22742475,125588193.6,5.522186728,22.51522379,512051914.2
Australia,36,Oceania,Australia and New Zealand,2011,22340024,124100341.8,5.555067524,23.34758044,521585507.4
Australia,36,Oceania,Australia and New Zealand,2010,22031750,122574000,5.563516289,25.34944159,558492559.8
Australia,36,Oceania,Australia and New Zealand,2009,21691700,127532000,5.879299456,23.46654196,509029188.2
Australia,36,Oceania,Australia and New Zealand,2008,21249200,122245000,5.752922463,23.33147702,495775221.5
Australia,36,Oceania,Australia and New Zealand,2007,20827600,135612000,6.511167873,24.13130913,502597254
Australia,36,Oceania,Australia and New Zealand,2006,20697900,119085000,5.753482237,26.96786371,558178146.3
Australia,36,Oceania,Australia and New Zealand,2005,20394800,122172000,5.990350481,27.1085763,552873991.9
Australia,36,Oceania,Australia and New Zealand,2004,20127400,126732000,6.29649135,28.61969874,576040124.4
Australia,36,Oceania,Australia and New Zealand,2003,19895400,125529000,6.309448415,25.86188253,514532497.7
Australia,36,Oceania,Australia and New Zealand,2002,19651400,132305000,6.732599204,25.16673568,494561589.5
Australia,36,Oceania,Australia and New Zealand,2001,19413000,136147000,7.01318704,24.51133092,475838467.1
Australia,36,Oceania,Australia and New Zealand,2000,19153000,128133000,6.68997024,26.41187439,505866630.2
Australia,36,Oceania,Australia and New Zealand,1999,18926000,121783000,6.434693015,27.98166484,529580988.8
Australia,36,Oceania,Australia and New Zealand,1998,18711000,116914000,6.248410026,26.65334856,498710804.9
Australia,36,Oceania,Australia and New Zealand,1997,18517000,118625000,6.406275315,28.87369842,534654273.6
Australia,36,Oceania,Australia and New Zealand,1996,18311000,113515000,6.199279122,27.32871138,500416034.1
Australia,36,Oceania,Australia and New Zealand,1995,18072000,112637000,6.23268039,25.40755506,459165335
Australia,36,Oceania,Australia and New Zealand,1994,17855000,123283000,6.904676561,25.54124443,456038919.3
Australia,36,Oceania,Australia and New Zealand,1993,17667000,112836000,6.38682289,26.24447845,463661200.8
Australia,36,Oceania,Australia and New Zealand,1992,17495000,116503000,6.659216919,26.27816552,459736505.8
Australia,36,Oceania,Australia and New Zealand,1991,17284000,120601000,6.97760935,27.80840108,480640404.3
Australia,36,Oceania,Australia and New Zealand,1990,17065100,115150000,6.747689729,4.11E-06,70.137561
Brazil,76,Americas,South America,2012,200560983,477076794.6,2.378711888,24.83554533,4981041385
Brazil,76,Americas,South America,2011,198686688,469456497.3,2.362797941,24.63318936,4894286809
Brazil,76,Americas,South America,2010,196796269,443289000,2.25252746,25.30571519,4980070334
Brazil,76,Americas,South America,2009,194895996,421609000,2.163251214,24.44475692,4764185247
Brazil,76,Americas,South America,2008,192979029,421460000,2.183967876,25.17855932,4858933929
Brazil,76,Americas,South America,2007,191026637,412677000,2.160311287,28.67531233,5477748479
Brazil,76,Americas,South America,2006,189012412,407314000,2.154959009,29.73337727,5619977355
Brazil,76,Americas,South America,2005,186917361,492336000,2.633976841,27.5229855,5144523817
Brazil,76,Americas,South America,2004,184738458,459552000,2.48758166,26.75824105,4943276190
Brazil,76,Americas,South America,2003,182482149,419110000,2.296717801,27.99023207,5107717699
Brazil,76,Americas,South America,2002,180151021,388268000,2.155236189,24.31271529,4379960483
Brazil,76,Americas,South America,2001,177750670,367626000,2.068211613,23.7907803,4228827138
Brazil,76,Americas,South America,2000,175287587,343027000,1.956938343,24.32888571,4264551671
Brazil,76,Americas,South America,1999,172759243,361634000,2.093283078,23.96804496,4140701303
Brazil,76,Americas,South America,1998,170170640,376882000,2.214729873,22.68253061,3859900751
Brazil,76,Americas,South America,1997,167545164,354875000,2.118085605,24.24898441,4062800070
Brazil,76,Americas,South America,1996,164913306,350573000,2.125801783,26.2060726,4321730070
Brazil,76,Americas,South America,1995,162296612,355036000,2.187574932,24.65575122,4001544889
Brazil,76,Americas,South America,1994,159705123,334732000,2.095937774,21.84518633,3488788170
Brazil,76,Americas,South America,1993,157132682,356615000,2.269515135,20.65822176,3246081790
Brazil,76,Americas,South America,1992,154564278,340142000,2.200650787,20.434097,3158381449
Brazil,76,Americas,South America,1991,151976577,324383000,2.134427597,21.00289251,3191947711
Brazil,76,Americas,South America,1990,149352145,319678000,2.140431261,21.00484697,3137118950
Canada,124,Americas,Northern America,2012,34750545,106846774.3,3.074679096,19.80382062,688193559.6
Canada,124,Americas,Northern America,2011,34342780,105687662.2,3.077434681,19.69178359,676270591.6
Canada,124,Americas,Northern America,2010,34005274,104529000,3.073905536,20.17848837,686175025.9
Canada,124,Americas,Northern America,2009,33628571,103829000,3.087523404,20.40741399,686272170.3
Canada,124,Americas,Northern America,2008,33245773,107850000,3.244021428,21.43037746,712469464.3
Canada,124,Americas,Northern America,2007,32887928,107975000,3.283119569,22.08571722,726353477.8
Canada,124,Americas,Northern America,2006,32570505,107954000,3.314471176,21.63915763,704798291.8
Canada,124,Americas,Northern America,2005,32312000,108519000,3.358473632,21.90997368,707955069.5
Canada,124,Americas,Northern America,2004,31995000,114500000,3.578684169,22.61556353,723584955.1
Canada,124,Americas,Northern America,2003,31676000,111137000,3.508555373,23.55089284,745998081.6
Canada,124,Americas,Northern America,2002,31362000,106819000,3.406000893,22.31287464,699776374.5
Canada,124,Americas,Northern America,2001,31081900,103053000,3.315530904,22.39478072,696072334.9
Canada,124,Americas,Northern America,2000,30769700,102170000,3.320474363,23.29835889,716883513.5
Canada,124,Americas,Northern America,1999,30499200,104782000,3.435565523,23.68157934,722269224.6
Canada,124,Americas,Northern America,1998,30247900,114948000,3.8001977,23.25823293,703512703.8
Canada,124,Americas,Northern America,1997,29987200,98142200,3.272803063,22.98216308,689170720.7
Canada,124,Americas,Northern America,1996,29671900,97909600,3.299741506,22.92039851,680091772.5
Canada,124,Americas,Northern America,1995,29354000,109622000,3.734482524,23.17703301,680338627
Canada,124,Americas,Northern America,1994,29111906,104467000,3.588463084,23.09363083,672299609.9
Canada,124,Americas,Northern America,1993,28833410,89389900,3.100219502,22.67521854,653803873
Canada,124,Americas,Northern America,1992,28519597,83400600,2.924326034,23.69598282,675799880.5
Canada,124,Americas,Northern America,1991,28171682,81474000,2.892053091,24.32025859,685142591.2
Canada,124,Americas,Northern America,1990,27791000,77163500,2.776564355,24.86491268,691020788.3
China,156,Asia,Eastern Asia,2012,1350695000,1752290140,1.297324814,3.381234537,4567016583
China,156,Asia,Eastern Asia,2011,1344130000,1697274470,1.262730889,3.296498902,4430923069
China,156,Asia,Eastern Asia,2010,1337705000,1642260000,1.227669778,3.351136478,4482832022
China,156,Asia,Eastern Asia,2009,1331260000,1582750000,1.188911257,3.275464401,4360494738
China,156,Asia,Eastern Asia,2008,1324655000,1537220000,1.160468197,3.161837792,4188344240
China,156,Asia,Eastern Asia,2007,1317885000,1444170000,1.095823991,3.166633122,4173258292
China,156,Asia,Eastern Asia,2006,1311020000,1392640000,1.062256869,2.99073079,3920907880
China,156,Asia,Eastern Asia,2005,1303720000,1327790000,1.018462553,2.954778675,3852204054
China,156,Asia,Eastern Asia,2004,1296075000,1251300000,0.965453388,2.948303349,3821222263
China,156,Asia,Eastern Asia,2003,1288400000,1146530000,0.889886681,2.884084984,3715855093
China,156,Asia,Eastern Asia,2002,1280400000,1085790000,0.848008435,3.146008219,4028148924
China,156,Asia,Eastern Asia,2001,1271850000,1051690000,0.826897826,2.957189407,3761101347
China,156,Asia,Eastern Asia,2000,1262645000,1043400000,0.826360537,2.89047003,3649637531
China,156,Asia,Eastern Asia,1999,1252735000,1055950000,0.8429157,2.751608561,3447036351
China,156,Asia,Eastern Asia,1998,1241935000,1060240000,0.853700073,2.610577653,3242167757
China,156,Asia,Eastern Asia,1997,1230075000,1066800000,0.867264191,2.407234265,2961078689
China,156,Asia,Eastern Asia,1996,1217550000,1093470000,0.898090427,1.946950721,2370509850
China,156,Asia,Eastern Asia,1995,1204855000,1075420000,0.892572135,1.955224466,2355761974
China,156,Asia,Eastern Asia,1994,1191835000,1020310000,0.856083267,1.524403964,1816837998
China,156,Asia,Eastern Asia,1993,1178440000,1002980000,0.851108245,1.257451502,1481831148
China,156,Asia,Eastern Asia,1992,1164970000,1010330000,0.867258384,1.003120034,1168604746
China,156,Asia,Eastern Asia,1991,1150780000,1013520000,0.880724378,0.752711761,866205640.3
China,156,Asia,Eastern Asia,1990,1135185000,1016910000,0.895809934,0.641784078,728543658.6
India,356,Asia,Southern Asia,2012,1263065852,636395827.2,0.503850077,0.66721884,842741332.6
India,356,Asia,Southern Asia,2011,1247236029,628938063.6,0.504265471,0.749297709,934551099.1
India,356,Asia,Southern Asia,2010,1230980691,621480000,0.504865758,0.933558143,1149192048
India,356,Asia,Southern Asia,2009,1214270132,620918000,0.511350797,1.090866753,1324606916
India,356,Asia,Southern Asia,2008,1197146906,606364000,0.506507595,1.062657435,1272157060
India,356,Asia,Southern Asia,2007,1179681239,598069000,0.506975088,1.06826842,1260216213
India,356,Asia,Southern Asia,2006,1161977719,589705000,0.507501125,1.060771904,1232593317
India,356,Asia,Southern Asia,2005,1144118674,584676000,0.511027408,1.086021751,1242537766
India,356,Asia,Southern Asia,2004,1126135777,577716000,0.513007412,1.152608149,1297993273
India,356,Asia,Southern Asia,2003,1108027848,575287000,0.519199045,1.176686619,1303801542
India,356,Asia,Southern Asia,2002,1089807112,565939000,0.519301988,1.25370737,1366299208
India,356,Asia,Southern Asia,2001,1071477855,568476000,0.530553196,1.306505366,1399891567
India,356,Asia,Southern Asia,2000,1053050912,561733000,0.533433848,1.295572106,1364303388
India,356,Asia,Southern Asia,1999,1034539214,571165000,0.552096037,1.395950422,1444165452
India,356,Asia,Southern Asia,1998,1015974042,553240000,0.544541472,1.427430542,1450232377
India,356,Asia,Southern Asia,1997,997405318,550939000,0.55237223,1.434680463,1430957923
India,356,Asia,Southern Asia,1996,978893217,547580000,0.559386857,1.468338731,1437346824
India,356,Asia,Southern Asia,1995,960482795,542270000,0.564580649,1.487632447,1428845371
India,356,Asia,Southern Asia,1994,942204249,535828000,0.568696225,1.541865641,1452752358
India,356,Asia,Southern Asia,1993,924057817,529117000,0.572601617,1.576238359,1456535377
India,356,Asia,Southern Asia,1992,906021106,524521000,0.578928015,1.616123487,1464241989
India,356,Asia,Southern Asia,1991,888054875,520959000,0.586629289,1.623201831,1441492299
India,356,Asia,Southern Asia,1990,870133480,513704000,0.59037379,1.649950427,1435677107
Indonesia,360,Asia,South-Eastern Asia,2012,248883232,223315740,0.897271135,1.661209135,413447098.5
Indonesia,360,Asia,South-Eastern Asia,2011,245707511,221126370,0.899957714,1.720784754,422809738.9
Indonesia,360,Asia,South-Eastern Asia,2010,242524123,218937000,0.902743188,1.70188251,412747563.2
Indonesia,360,Asia,South-Eastern Asia,2009,239340478,302828000,1.265260279,1.557428514,372755685
Indonesia,360,Asia,South-Eastern Asia,2008,236159276,215937000,0.914370181,1.45356167,343272071.6
Indonesia,360,Asia,South-Eastern Asia,2007,232989141,214323000,0.919884073,1.303035146,303593039.4
Indonesia,360,Asia,South-Eastern Asia,2006,229838202,515945000,2.244818292,1.443007637,331658280.8
Indonesia,360,Asia,South-Eastern Asia,2005,226712730,307454000,1.35613911,1.3123524,297526995.3
Indonesia,360,Asia,South-Eastern Asia,2004,223614649,250429000,1.119913213,1.579145744,353120121.3
Indonesia,360,Asia,South-Eastern Asia,2003,220545214,216483000,0.981581038,1.338206586,295135057.9
Indonesia,360,Asia,South-Eastern Asia,2002,217508059,342524000,1.574764639,1.30438859,283715030.4
Indonesia,360,Asia,South-Eastern Asia,2001,214506502,203333000,0.947910661,1.332838461,285902516
Indonesia,360,Asia,South-Eastern Asia,2000,211540429,170032000,0.803780161,1.441307374,304894780.2
Indonesia,360,Asia,South-Eastern Asia,1999,208612556,181938000,0.872133507,1.289389757,268982892.9
Indonesia,360,Asia,South-Eastern Asia,1998,205715544,276717000,1.345143856,1.363488825,280490845.4
Indonesia,360,Asia,South-Eastern Asia,1997,202826465,912857000,4.500679929,1.491703058,302556858.1
Indonesia,360,Asia,South-Eastern Asia,1996,199914831,196284000,0.981838111,1.460436023,291962820.7
Indonesia,360,Asia,South-Eastern Asia,1995,196957849,200127000,1.016090504,1.313608339,258725472.9
Indonesia,360,Asia,South-Eastern Asia,1994,193945272,357567000,1.843648965,1.413390887,274120480
Indonesia,360,Asia,South-Eastern Asia,1993,190879523,229782000,1.203806445,1.47474575,281498765.3
Indonesia,360,Asia,South-Eastern Asia,1992,187766086,364640000,1.941990738,1.291629781,242524268.5
Indonesia,360,Asia,South-Eastern Asia,1991,184615979,391055000,2.118207764,1.188433747,219403859.7
Indonesia,360,Asia,South-Eastern Asia,1990,181436821,211531000,1.165865886,1.180016081,214098366.5
Russian Federation,643,Europe,Eastern Europe,2012,143201676,545818581,3.81153766,14.03665158,2010072032
Russian Federation,643,Europe,Eastern Europe,2011,142960868,539682790.5,3.775038569,13.48247825,1927466793
Russian Federation,643,Europe,Eastern Europe,2010,142849449,533546000,3.735023157,13.21407652,1887623550
Russian Federation,643,Europe,Eastern Europe,2009,142785342,507742000,3.555981258,12.85387054,1835344301
Russian Federation,643,Europe,Eastern Europe,2008,142742350,511550000,3.583729706,14.15883779,2021065779
Russian Federation,643,Europe,Eastern Europe,2007,142805088,504013000,3.529377049,12.36617652,1765952926
Russian Federation,643,Europe,Eastern Europe,2006,143049528,495215000,3.46184295,11.92981073,1706553794
Russian Federation,643,Europe,Eastern Europe,2005,143518523,494483000,3.445429828,12.60011422,1808349782
Russian Federation,643,Europe,Eastern Europe,2004,144067054,486820000,3.379120947,12.08847834,1741551462
Russian Federation,643,Europe,Eastern Europe,2003,144648257,509646000,3.523346984,12.2226902,1767990833
Russian Federation,643,Europe,Eastern Europe,2002,145306046,489125000,3.366171013,12.00476398,1744364787
Russian Federation,643,Europe,Eastern Europe,2001,145976083,470194000,3.221034503,11.26900241,1645004831
Russian Federation,643,Europe,Eastern Europe,2000,146596557,465970000,3.178587612,10.31073852,1511518767
Russian Federation,643,Europe,Eastern Europe,1999,147214392,455382000,3.093325278,11.94999192,1759210795
Russian Federation,643,Europe,Eastern Europe,1998,147670692,498651000,3.376777025,14.00066532,2067487936
Russian Federation,643,Europe,Eastern Europe,1997,147915307,451678000,3.053625816,15.25095969,2255850385
Russian Federation,643,Europe,Eastern Europe,1996,148160042,490520000,3.310744202,15.13667504,2242650410
Russian Federation,643,Europe,Eastern Europe,1995,148375726,485644000,3.273069073,15.59893506,2314503314
Russian Federation,643,Europe,Eastern Europe,1994,148336000,514496000,3.468450005,17.94671302,2662143623
Russian Federation,643,Europe,Eastern Europe,1993,148520000,553641000,3.727720172,18.89368072,2806089461
Russian Federation,643,Europe,Eastern Europe,1992,148689000,576744000,3.878861247,20.19440098,3002685287
Russian Federation,643,Europe,Eastern Europe,1991,148624000,601461000,4.046863225,4.73E-07,70.299152
Russian Federation,643,Europe,Eastern Europe,1990,148292000,624883000,4.213868584,4.74E-07,70.290408
Switzerland,756,Europe,Western Europe,2012,7996861,4900250.754,0.612771781,14.83407797,118626059.6
Switzerland,756,Europe,Western Europe,2011,7912398,4902809.877,0.619636408,15.31926992,121212160.7
Switzerland,756,Europe,Western Europe,2010,7824909,4992300,0.63800103,15.21229456,119034820.6
Switzerland,756,Europe,Western Europe,2009,7743831,4897930,0.632494433,14.86329249,115098825.1
Switzerland,756,Europe,Western Europe,2008,7647675,4946620,0.646813574,14.96827995,114472540.4
Switzerland,756,Europe,Western Europe,2007,7551117,4953020,0.655932096,14.45339899,109139306.8
Switzerland,756,Europe,Western Europe,2006,7483934,4945070,0.660758099,14.69266004,109958898
Switzerland,756,Europe,Western Europe,2005,7437115,4954170,0.666141373,14.40939705,107164342.9
Switzerland,756,Europe,Western Europe,2004,7389625,4977710,0.67360793,14.29593568,105641603.7
Switzerland,756,Europe,Western Europe,2003,7339001,4975490,0.677951945,14.37287548,105482547.5
Switzerland,756,Europe,Western Europe,2002,7284753,5084650,0.69798523,14.16367868,103178900.8
Switzerland,756,Europe,Western Europe,2001,7229854,5150730,0.712425175,14.1245342,102118320.1
Switzerland,756,Europe,Western Europe,2000,7184250,5126480,0.71357205,14.2051094,102053057.2
Switzerland,756,Europe,Western Europe,1999,7143991,5155530,0.721659644,15.37282672,109823335.7
Switzerland,756,Europe,Western Europe,1998,7110001,5328370,0.749419023,15.54209296,110504296.5
Switzerland,756,Europe,Western Europe,1997,7088906,5386850,0.759898636,15.60513804,110623356.7
Switzerland,756,Europe,Western Europe,1996,7071850,5576610,0.78856452,15.49559429,109582518.5
Switzerland,756,Europe,Western Europe,1995,7040687,5613280,0.797263108,15.62246643,109992896.3
Switzerland,756,Europe,Western Europe,1994,6993795,5695960,0.814430506,15.79421313,110461488.8
Switzerland,756,Europe,Western Europe,1993,6938265,5666060,0.816639318,17.37568561,120557111.3
Switzerland,756,Europe,Western Europe,1992,6875364,5749270,0.836213181,18.12556867,124619882.3
Switzerland,756,Europe,Western Europe,1991,6799978,5865670,0.86260132,18.40605298,125160755.3
Switzerland,756,Europe,Western Europe,1990,6715519,5907070,0.879614815,18.19831833,122211152.5
United States,840,Americas,Northern America,2012,313993272,499809345,1.591783613,26.14167654,8208310552
United States,840,Americas,Northern America,2011,311644280,514948822.5,1.652360898,26.30681386,8198368064
United States,840,Americas,Northern America,2010,309338421,524709000,1.696229645,27.28935435,8441645785
United States,840,Americas,Northern America,2009,306771529,528695000,1.723416126,28.05783499,8607344940
United States,840,Americas,Northern America,2008,304093966,547798000,1.801410292,28.7207232,8733798624
United States,840,Americas,Northern America,2007,301231207,542996000,1.8025888,29.90403793,9008029440
United States,840,Americas,Northern America,2006,298379912,540769000,1.812350558,30.16403658,9000342580
United States,840,Americas,Northern America,2005,295516599,538396000,1.82188074,30.03546945,8875979781
United States,840,Americas,Northern America,2004,292805298,544113000,1.858275802,30.31128389,8875304512
United States,840,Americas,Northern America,2003,290107933,551252000,1.900161758,29.78073083,8639626264
United States,840,Americas,Northern America,2002,287625193,550977000,1.91560758,31.01335734,8920222890
United States,840,Americas,Northern America,2001,284968955,551411000,1.934986216,30.35202385,8649384519
United States,840,Americas,Northern America,2000,282162411,556609000,1.972654678,31.03662604,8757369233
United States,840,Americas,Northern America,1999,279040000,568261000,2.036485808,30.93746274,8632789603
United States,840,Americas,Northern America,1998,275854000,577778000,2.094506514,30.61686646,8445785080
United States,840,Americas,Northern America,1997,272657000,589672000,2.162687919,30.26926593,8253127241
United States,840,Americas,Northern America,1996,269394000,598692000,2.222365754,30.99587099,8350101669
United States,840,Americas,Northern America,1995,266278000,604505000,2.27020257,30.89802361,8227463931
United States,840,Americas,Northern America,1994,263126000,615255000,2.338252396,30.7129812,8081383891
United States,840,Americas,Northern America,1993,259919000,617080000,2.374124246,29.6626509,7709886559
United States,840,Americas,Northern America,1992,256514000,623194000,2.429473635,30.30476889,7773597487
United States,840,Americas,Northern America,1991,252981000,627323000,2.479723774,30.40783982,7692605726
United States,840,Americas,Northern America,1990,249623000,637636000,2.554396029,30.62289194,7644178155
